reservation_date,adults,children,booking_changes,total_of_special_requests,reservation_count,hotel
2016-04-09,122,9,22,34,70,Resort Hotel
2016-04-10,121,4,22,28,71,Resort Hotel
2016-04-11,71,7,18,17,44,Resort Hotel
2016-04-12,88,4,20,26,56,Resort Hotel
2016-04-13,101,8,25,22,73,Resort Hotel
2016-04-14,85,8,22,27,57,Resort Hotel
2016-04-15,165,8,34,23,98,Resort Hotel
2016-04-16,106,8,27,25,65,Resort Hotel
2016-04-17,124,11,19,33,74,Resort Hotel
2016-04-18,147,5,36,29,85,Resort Hotel
2016-04-19,78,7,16,14,50,Resort Hotel
2016-04-20,134,5,32,20,85,Resort Hotel
2016-04-21,92,14,23,35,60,Resort Hotel
2016-04-22,90,14,20,21,53,Resort Hotel
2016-04-23,78,4,17,29,46,Resort Hotel
2016-04-24,69,6,19,26,41,Resort Hotel
2016-04-25,164,12,57,49,87,Resort Hotel
2016-04-26,127,9,21,45,78,Resort Hotel
2016-04-27,95,8,24,28,56,Resort Hotel
2016-04-28,122,14,33,38,75,Resort Hotel
2016-04-29,113,11,30,27,72,Resort Hotel
2016-04-30,143,10,56,47,83,Resort Hotel
2016-05-01,57,13,10,24,34,Resort Hotel
2016-05-02,149,13,36,37,89,Resort Hotel
2016-05-03,92,10,22,22,55,Resort Hotel
2016-05-04,118,14,37,19,72,Resort Hotel
2016-05-05,90,9,19,27,59,Resort Hotel
2016-05-06,160,8,92,32,91,Resort Hotel
2016-05-07,85,9,26,26,50,Resort Hotel
2016-05-08,90,18,25,36,50,Resort Hotel
2016-05-09,113,10,54,36,65,Resort Hotel
2016-05-10,100,7,33,42,61,Resort Hotel
2016-05-11,77,4,19,27,50,Resort Hotel
2016-05-12,162,6,33,24,96,Resort Hotel
2016-05-13,62,10,18,28,38,Resort Hotel
2016-05-14,109,9,21,25,62,Resort Hotel
2016-05-15,145,9,38,22,83,Resort Hotel
2016-05-16,169,13,35,26,94,Resort Hotel
2016-05-17,67,9,17,30,43,Resort Hotel
2016-05-18,114,5,29,24,68,Resort Hotel
2016-05-19,112,13,20,27,67,Resort Hotel
2016-05-20,69,8,16,28,44,Resort Hotel
2016-05-21,60,5,19,23,36,Resort Hotel
2016-05-22,86,17,24,34,49,Resort Hotel
2016-05-23,72,12,22,33,40,Resort Hotel
2016-05-24,82,6,29,35,49,Resort Hotel
2016-05-25,93,6,20,34,58,Resort Hotel
2016-05-26,139,8,14,40,75,Resort Hotel
2016-05-27,84,14,26,41,50,Resort Hotel
2016-05-28,51,10,17,24,31,Resort Hotel
2016-05-29,89,11,52,23,56,Resort Hotel
2016-05-30,165,14,120,17,97,Resort Hotel
2016-05-31,58,9,28,14,37,Resort Hotel
2016-06-01,60,6,17,18,43,Resort Hotel
2016-06-02,105,13,21,44,62,Resort Hotel
2016-06-03,84,5,23,39,53,Resort Hotel
2016-06-04,45,9,21,27,28,Resort Hotel
2016-06-05,91,18,21,35,50,Resort Hotel
2016-06-06,100,11,19,36,54,Resort Hotel
2016-06-07,99,7,25,27,56,Resort Hotel
2016-06-08,56,4,20,24,32,Resort Hotel
2016-06-09,94,12,21,22,52,Resort Hotel
2016-06-10,81,3,19,26,47,Resort Hotel
2016-06-11,91,8,21,39,50,Resort Hotel
2016-06-12,117,14,56,39,65,Resort Hotel
2016-06-13,86,15,33,41,50,Resort Hotel
2016-06-14,80,17,14,25,47,Resort Hotel
2016-06-15,100,10,22,28,58,Resort Hotel
2016-06-16,82,11,23,25,49,Resort Hotel
2016-06-17,104,16,33,40,60,Resort Hotel
2016-06-18,89,5,37,52,52,Resort Hotel
2016-06-19,76,14,16,22,42,Resort Hotel
2016-06-20,168,31,27,34,91,Resort Hotel
2016-06-21,156,20,28,44,86,Resort Hotel
2016-06-22,108,18,23,34,68,Resort Hotel
2016-06-23,90,10,21,29,52,Resort Hotel
2016-06-24,72,15,15,25,42,Resort Hotel
2016-06-25,102,7,20,21,57,Resort Hotel
2016-06-26,98,12,20,35,54,Resort Hotel
2016-06-27,88,15,27,25,49,Resort Hotel
2016-06-28,85,11,29,36,49,Resort Hotel
2016-06-29,53,5,17,18,34,Resort Hotel
2016-06-30,119,20,32,38,65,Resort Hotel
2016-07-01,53,4,19,21,34,Resort Hotel
2016-07-02,80,14,21,36,45,Resort Hotel
2016-07-03,90,16,16,45,51,Resort Hotel
2016-07-04,101,9,21,37,55,Resort Hotel
2016-07-05,91,10,25,29,50,Resort Hotel
2016-07-06,46,6,11,24,31,Resort Hotel
2016-07-07,85,18,18,25,45,Resort Hotel
2016-07-08,61,14,17,37,37,Resort Hotel
2016-07-09,65,9,18,28,37,Resort Hotel
2016-07-10,61,9,15,24,36,Resort Hotel
2016-07-11,82,11,23,30,44,Resort Hotel
2016-07-12,63,10,35,31,39,Resort Hotel
2016-07-13,82,9,23,27,45,Resort Hotel
2016-07-14,82,7,17,23,46,Resort Hotel
2016-07-15,84,12,20,32,48,Resort Hotel
2016-07-16,94,15,27,50,52,Resort Hotel
2016-07-17,91,15,16,36,52,Resort Hotel
2016-07-18,185,21,21,48,95,Resort Hotel
2016-07-19,116,21,22,37,65,Resort Hotel
2016-07-20,82,10,24,32,50,Resort Hotel
2016-07-21,153,17,22,42,84,Resort Hotel
2016-07-22,98,18,30,35,55,Resort Hotel
2016-07-23,104,8,19,33,55,Resort Hotel
2016-07-24,100,15,25,48,55,Resort Hotel
2016-07-25,137,14,124,46,72,Resort Hotel
2016-07-26,92,17,24,33,49,Resort Hotel
2016-07-27,67,4,18,31,39,Resort Hotel
2016-07-28,95,19,24,38,48,Resort Hotel
2016-07-29,90,10,22,27,47,Resort Hotel
2016-07-30,126,29,43,58,66,Resort Hotel
2016-07-31,96,8,20,30,53,Resort Hotel
2016-08-01,131,23,26,54,71,Resort Hotel
2016-08-02,107,25,47,26,61,Resort Hotel
2016-08-03,82,13,22,27,47,Resort Hotel
2016-08-04,101,8,17,38,56,Resort Hotel
2016-08-05,91,19,35,40,48,Resort Hotel
2016-08-06,81,25,24,37,44,Resort Hotel
2016-08-07,89,17,19,43,46,Resort Hotel
2016-08-08,139,18,31,50,73,Resort Hotel
2016-08-09,64,8,15,22,36,Resort Hotel
2016-08-10,81,13,26,35,45,Resort Hotel
2016-08-11,122,27,28,55,67,Resort Hotel
2016-08-12,86,14,19,37,47,Resort Hotel
2016-08-13,90,19,27,43,49,Resort Hotel
2016-08-14,60,11,12,32,36,Resort Hotel
2016-08-15,117,16,28,55,63,Resort Hotel
2016-08-16,97,15,30,40,51,Resort Hotel
2016-08-17,82,13,20,37,46,Resort Hotel
2016-08-18,108,23,42,56,59,Resort Hotel
2016-08-19,80,9,17,50,43,Resort Hotel
2016-08-20,100,15,25,50,56,Resort Hotel
2016-08-21,83,17,22,36,46,Resort Hotel
2016-08-22,121,11,30,55,63,Resort Hotel
2016-08-23,79,21,22,42,44,Resort Hotel
2016-08-24,66,22,30,33,40,Resort Hotel
2016-08-25,110,18,20,42,61,Resort Hotel
2016-08-26,112,15,26,54,60,Resort Hotel
2016-08-27,110,18,25,38,55,Resort Hotel
2016-08-28,92,14,30,42,47,Resort Hotel
2016-08-29,118,29,26,52,62,Resort Hotel
2016-08-30,113,16,22,53,58,Resort Hotel
2016-08-31,108,18,21,49,59,Resort Hotel
2016-09-01,103,9,19,44,56,Resort Hotel
2016-09-02,118,10,28,38,64,Resort Hotel
2016-09-03,94,10,30,52,51,Resort Hotel
2016-09-04,76,10,16,38,43,Resort Hotel
2016-09-05,124,11,40,58,68,Resort Hotel
2016-09-06,55,9,17,27,33,Resort Hotel
2016-09-07,59,7,21,24,34,Resort Hotel
2016-09-08,64,9,23,29,37,Resort Hotel
2016-09-09,79,7,19,28,46,Resort Hotel
2016-09-10,87,6,25,30,46,Resort Hotel
2016-09-11,81,6,17,44,46,Resort Hotel
2016-09-12,88,12,26,36,49,Resort Hotel
2016-09-13,79,5,23,46,45,Resort Hotel
2016-09-14,129,9,23,47,70,Resort Hotel
2016-09-15,169,7,29,54,96,Resort Hotel
2016-09-16,57,10,16,26,33,Resort Hotel
2016-09-17,59,8,16,33,38,Resort Hotel
2016-09-18,131,9,38,29,73,Resort Hotel
2016-09-19,136,13,62,29,80,Resort Hotel
2016-09-20,118,11,50,45,68,Resort Hotel
2016-09-21,92,7,27,58,53,Resort Hotel
2016-09-22,64,9,20,26,37,Resort Hotel
2016-09-23,127,14,43,37,72,Resort Hotel
2016-09-24,68,13,27,35,38,Resort Hotel
2016-09-25,115,7,23,51,66,Resort Hotel
2016-09-26,112,9,26,57,64,Resort Hotel
2016-09-27,86,5,43,60,49,Resort Hotel
2016-09-28,49,4,13,24,33,Resort Hotel
2016-09-29,119,6,25,49,69,Resort Hotel
2016-09-30,74,7,20,41,44,Resort Hotel
2016-10-01,50,6,17,29,33,Resort Hotel
2016-10-02,91,12,16,35,51,Resort Hotel
2016-10-03,120,6,38,50,66,Resort Hotel
2016-10-04,80,8,14,28,48,Resort Hotel
2016-10-05,104,6,24,55,62,Resort Hotel
2016-10-06,234,9,36,62,126,Resort Hotel
2016-10-07,72,9,11,29,41,Resort Hotel
2016-10-08,76,7,19,27,44,Resort Hotel
2016-10-09,158,11,52,41,94,Resort Hotel
2016-10-10,135,11,39,49,77,Resort Hotel
2016-10-11,158,9,51,55,98,Resort Hotel
2016-10-12,142,6,17,72,88,Resort Hotel
2016-10-13,65,5,23,27,42,Resort Hotel
2016-10-14,43,5,12,22,29,Resort Hotel
2016-10-15,42,3,23,19,29,Resort Hotel
2016-10-16,113,9,62,20,71,Resort Hotel
2016-10-17,162,6,97,40,92,Resort Hotel
2016-10-18,151,11,40,22,84,Resort Hotel
2016-10-19,94,5,21,33,60,Resort Hotel
2016-10-20,136,5,38,41,92,Resort Hotel
2016-10-21,121,10,28,36,74,Resort Hotel
2016-10-22,58,7,13,33,34,Resort Hotel
2016-10-23,93,6,62,33,58,Resort Hotel
2016-10-24,153,9,63,46,84,Resort Hotel
2016-10-25,85,5,30,31,50,Resort Hotel
2016-10-26,166,11,58,48,94,Resort Hotel
2016-10-27,133,4,32,43,82,Resort Hotel
2016-10-28,89,6,27,51,55,Resort Hotel
2016-10-29,111,10,20,48,66,Resort Hotel
2016-10-30,144,9,31,38,76,Resort Hotel
2016-10-31,100,9,18,46,55,Resort Hotel
2016-11-01,106,9,29,42,64,Resort Hotel
2016-11-02,117,11,30,61,69,Resort Hotel
2016-11-03,82,4,33,38,49,Resort Hotel
2016-11-04,107,10,36,45,66,Resort Hotel
2016-11-05,115,9,23,74,66,Resort Hotel
2016-11-06,103,11,30,68,59,Resort Hotel
2016-11-07,93,11,27,42,58,Resort Hotel
2016-11-08,71,9,21,34,45,Resort Hotel
2016-11-09,74,7,29,42,47,Resort Hotel
2016-11-10,66,6,23,45,44,Resort Hotel
2016-11-11,60,5,21,31,41,Resort Hotel
2016-11-12,124,6,30,66,70,Resort Hotel
2016-11-13,94,5,25,59,52,Resort Hotel
2016-11-14,78,5,21,42,45,Resort Hotel
2016-11-15,76,6,19,50,47,Resort Hotel
2016-11-16,92,6,16,45,65,Resort Hotel
2016-11-17,80,3,33,39,54,Resort Hotel
2016-11-18,72,3,22,34,48,Resort Hotel
2016-11-19,80,8,19,27,48,Resort Hotel
2016-11-20,132,8,17,70,75,Resort Hotel
2016-11-21,166,7,35,61,94,Resort Hotel
2016-11-22,38,4,16,22,27,Resort Hotel
2016-11-23,80,5,15,22,51,Resort Hotel
2016-11-24,57,8,16,32,43,Resort Hotel
2016-11-25,69,5,21,37,49,Resort Hotel
2016-11-26,66,4,31,29,40,Resort Hotel
2016-11-27,124,20,26,68,69,Resort Hotel
2016-11-28,45,4,22,20,31,Resort Hotel
2016-11-29,41,3,15,21,33,Resort Hotel
2016-11-30,88,5,16,44,59,Resort Hotel
2016-12-01,41,4,14,23,27,Resort Hotel
2016-12-02,59,6,11,25,36,Resort Hotel
2016-12-03,110,12,19,38,62,Resort Hotel
2016-12-04,160,13,40,75,93,Resort Hotel
2016-12-05,39,6,16,23,26,Resort Hotel
2016-12-06,64,4,18,28,39,Resort Hotel
2016-12-07,100,8,31,23,63,Resort Hotel
2016-12-08,143,7,34,28,79,Resort Hotel
2016-12-09,48,5,31,29,33,Resort Hotel
2016-12-10,46,8,26,33,30,Resort Hotel
2016-12-11,165,11,37,65,91,Resort Hotel
2016-12-12,54,7,19,34,34,Resort Hotel
2016-12-13,120,6,14,30,69,Resort Hotel
2016-12-14,82,11,11,30,53,Resort Hotel
2016-12-15,138,4,17,30,91,Resort Hotel
2016-12-16,59,9,16,32,43,Resort Hotel
2016-12-17,60,3,18,43,41,Resort Hotel
2016-12-18,89,8,25,46,54,Resort Hotel
2016-12-19,63,11,17,31,39,Resort Hotel
2016-12-20,55,6,12,26,36,Resort Hotel
2016-12-21,39,6,15,25,30,Resort Hotel
2016-12-22,69,8,23,28,47,Resort Hotel
2016-12-23,130,6,23,19,77,Resort Hotel
2016-12-24,47,9,33,24,32,Resort Hotel
2016-12-25,15,7,14,13,13,Resort Hotel
2016-12-26,68,6,21,51,42,Resort Hotel
2016-12-27,94,6,41,50,55,Resort Hotel
2016-12-28,58,10,26,34,37,Resort Hotel
2016-12-29,95,10,29,57,62,Resort Hotel
2016-12-30,84,12,21,50,51,Resort Hotel
2016-12-31,59,13,21,37,38,Resort Hotel
2016-01-02,163,17,28,67,86,City Hotel
2016-01-03,181,18,22,43,96,City Hotel
2016-01-04,78,13,24,30,50,City Hotel
2016-01-05,191,8,36,34,113,City Hotel
2016-01-06,404,5,15,28,210,City Hotel
2016-01-07,131,3,17,20,87,City Hotel
2016-01-08,244,11,19,29,137,City Hotel
2016-01-09,72,9,18,22,44,City Hotel
2016-01-10,83,10,21,24,49,City Hotel
2016-01-11,160,12,18,29,92,City Hotel
2016-01-12,54,9,15,20,38,City Hotel
2016-01-13,84,9,13,19,53,City Hotel
2016-01-14,86,14,20,26,55,City Hotel
2016-01-15,64,3,15,15,44,City Hotel
2016-01-16,265,3,17,20,142,City Hotel
2016-01-17,136,12,26,64,79,City Hotel
2016-01-18,851,12,20,26,558,City Hotel
2016-01-19,289,3,16,24,155,City Hotel
2016-01-20,82,6,14,17,53,City Hotel
2016-01-21,123,9,94,25,94,City Hotel
2016-01-22,216,3,66,28,136,City Hotel
2016-01-23,64,7,28,26,42,City Hotel
2016-01-24,133,5,27,38,79,City Hotel
2016-01-25,93,3,20,27,54,City Hotel
2016-01-26,107,9,22,20,79,City Hotel
2016-01-27,100,7,26,23,60,City Hotel
2016-01-28,230,6,21,31,132,City Hotel
2016-01-29,120,5,38,24,81,City Hotel
2016-01-30,75,9,22,22,49,City Hotel
2016-01-31,98,13,31,39,61,City Hotel
2016-02-01,471,14,20,47,242,City Hotel
2016-02-02,99,14,16,36,58,City Hotel
2016-02-03,147,8,16,22,97,City Hotel
2016-02-04,142,10,12,32,85,City Hotel
2016-02-05,102,8,26,27,63,City Hotel
2016-02-06,89,11,22,33,52,City Hotel
2016-02-07,148,13,45,53,85,City Hotel
2016-02-08,146,16,20,38,85,City Hotel
2016-02-09,529,20,21,53,272,City Hotel
2016-02-10,362,13,31,65,189,City Hotel
2016-02-11,111,12,16,45,70,City Hotel
2016-02-12,123,15,21,38,79,City Hotel
2016-02-13,154,16,30,56,82,City Hotel
2016-02-14,283,15,21,106,153,City Hotel
2016-02-15,158,18,16,43,86,City Hotel
2016-02-16,143,12,21,42,79,City Hotel
2016-02-17,164,12,23,28,95,City Hotel
2016-02-18,125,12,17,61,76,City Hotel
2016-02-19,128,18,25,49,76,City Hotel
2016-02-20,204,21,36,33,149,City Hotel
2016-02-21,171,4,33,47,98,City Hotel
2016-02-22,155,12,33,41,90,City Hotel
2016-02-23,198,9,17,37,134,City Hotel
2016-02-24,132,12,21,35,75,City Hotel
2016-02-25,239,25,26,44,158,City Hotel
2016-02-26,164,15,16,46,100,City Hotel
2016-02-27,226,23,46,47,162,City Hotel
2016-02-28,261,15,53,68,160,City Hotel
2016-02-29,185,12,16,50,94,City Hotel
2016-03-01,173,14,19,23,98,City Hotel
2016-03-02,201,16,53,20,133,City Hotel
2016-03-03,155,4,47,39,112,City Hotel
2016-03-04,170,14,30,44,110,City Hotel
2016-03-05,133,11,20,33,71,City Hotel
2016-03-06,201,14,39,56,109,City Hotel
2016-03-07,178,10,18,46,99,City Hotel
2016-03-08,150,11,35,52,88,City Hotel
2016-03-09,217,16,20,38,126,City Hotel
2016-03-10,122,8,29,31,78,City Hotel
2016-03-11,173,7,32,33,107,City Hotel
2016-03-12,142,5,20,30,83,City Hotel
2016-03-13,171,16,32,71,87,City Hotel
2016-03-14,439,7,17,73,225,City Hotel
2016-03-15,566,7,19,33,290,City Hotel
2016-03-16,216,7,16,34,122,City Hotel
2016-03-17,160,6,27,39,92,City Hotel
2016-03-18,275,8,34,67,157,City Hotel
2016-03-19,154,5,26,54,86,City Hotel
2016-03-20,204,23,36,40,109,City Hotel
2016-03-21,260,20,31,59,145,City Hotel
2016-03-22,184,10,55,38,108,City Hotel
2016-03-23,181,19,31,46,108,City Hotel
2016-03-24,152,12,28,44,83,City Hotel
2016-03-25,209,30,32,70,110,City Hotel
2016-03-26,154,17,21,51,82,City Hotel
2016-03-27,204,27,42,65,103,City Hotel
2016-03-28,270,24,60,62,140,City Hotel
2016-03-29,182,15,29,41,105,City Hotel
2016-03-30,145,19,26,51,84,City Hotel
2016-03-31,208,22,35,49,111,City Hotel
2016-04-01,173,12,27,60,93,City Hotel
2016-04-02,160,16,26,52,95,City Hotel
2016-04-03,222,14,32,61,118,City Hotel
2016-04-04,534,10,15,37,277,City Hotel
2016-04-05,134,8,14,36,74,City Hotel
2016-04-06,169,15,25,61,107,City Hotel
2016-04-07,246,19,34,43,137,City Hotel
2016-04-08,198,10,43,57,112,City Hotel
2016-04-09,174,15,24,70,98,City Hotel
2016-04-10,167,19,34,52,91,City Hotel
2016-04-11,256,16,28,70,156,City Hotel
2016-04-12,183,16,22,48,102,City Hotel
2016-04-13,203,9,35,38,107,City Hotel
2016-04-14,219,16,26,83,117,City Hotel
2016-04-15,215,14,25,97,113,City Hotel
2016-04-16,140,24,19,42,76,City Hotel
2016-04-17,451,22,22,72,235,City Hotel
2016-04-18,178,16,34,61,92,City Hotel
2016-04-19,164,17,27,55,90,City Hotel
2016-04-20,189,12,26,67,106,City Hotel
2016-04-21,173,11,24,66,98,City Hotel
2016-04-22,208,9,26,59,116,City Hotel
2016-04-23,170,18,34,43,91,City Hotel
2016-04-24,237,10,36,57,121,City Hotel
2016-04-25,198,16,25,58,108,City Hotel
2016-04-26,154,9,41,53,83,City Hotel
2016-04-27,322,13,26,46,237,City Hotel
2016-04-28,202,14,26,67,112,City Hotel
2016-04-29,194,19,50,69,111,City Hotel
2016-04-30,138,8,16,45,74,City Hotel
2016-05-01,196,12,21,60,101,City Hotel
2016-05-02,209,25,33,67,119,City Hotel
2016-05-03,258,20,34,48,135,City Hotel
2016-05-04,232,12,37,64,141,City Hotel
2016-05-05,323,17,27,73,176,City Hotel
2016-05-06,175,8,36,54,112,City Hotel
2016-05-07,113,13,17,24,65,City Hotel
2016-05-08,286,17,45,92,154,City Hotel
2016-05-09,180,9,23,50,97,City Hotel
2016-05-10,225,13,24,45,123,City Hotel
2016-05-11,162,10,37,45,90,City Hotel
2016-05-12,140,5,24,32,85,City Hotel
2016-05-13,169,13,19,53,110,City Hotel
2016-05-14,140,9,22,46,77,City Hotel
2016-05-15,187,12,25,81,95,City Hotel
2016-05-16,218,13,50,74,116,City Hotel
2016-05-17,253,13,34,63,140,City Hotel
2016-05-18,177,14,29,45,101,City Hotel
2016-05-19,204,9,29,61,130,City Hotel
2016-05-20,231,10,44,74,134,City Hotel
2016-05-21,176,11,26,41,98,City Hotel
2016-05-22,219,16,24,62,116,City Hotel
2016-05-23,258,15,58,98,144,City Hotel
2016-05-24,174,13,24,44,105,City Hotel
2016-05-25,183,8,20,59,110,City Hotel
2016-05-26,215,12,27,89,127,City Hotel
2016-05-27,108,13,10,30,68,City Hotel
2016-05-28,78,10,19,19,46,City Hotel
2016-05-29,374,12,175,68,199,City Hotel
2016-05-30,151,17,34,60,84,City Hotel
2016-05-31,153,7,21,55,86,City Hotel
2016-06-01,93,9,26,32,63,City Hotel
2016-06-02,385,15,22,76,205,City Hotel
2016-06-03,192,9,27,54,109,City Hotel
2016-06-04,183,16,40,48,97,City Hotel
2016-06-05,229,17,40,67,120,City Hotel
2016-06-06,218,8,34,79,120,City Hotel
2016-06-07,145,16,22,48,81,City Hotel
2016-06-08,216,14,41,74,133,City Hotel
2016-06-09,168,11,40,49,124,City Hotel
2016-06-10,140,9,49,47,88,City Hotel
2016-06-11,86,10,26,40,49,City Hotel
2016-06-12,224,18,45,107,126,City Hotel
2016-06-13,259,16,45,106,137,City Hotel
2016-06-14,174,13,19,53,100,City Hotel
2016-06-15,191,11,16,60,108,City Hotel
2016-06-16,142,8,20,43,81,City Hotel
2016-06-17,241,14,43,95,152,City Hotel
2016-06-18,78,5,15,43,47,City Hotel
2016-06-19,214,12,32,91,109,City Hotel
2016-06-20,385,6,26,93,198,City Hotel
2016-06-21,127,16,41,70,74,City Hotel
2016-06-22,164,14,30,71,90,City Hotel
2016-06-23,177,17,26,93,100,City Hotel
2016-06-24,261,13,32,111,148,City Hotel
2016-06-25,22,7,11,13,17,City Hotel
2016-06-26,341,11,44,89,227,City Hotel
2016-06-27,141,13,26,53,80,City Hotel
2016-06-28,196,10,16,47,106,City Hotel
2016-06-29,164,18,27,68,89,City Hotel
2016-06-30,132,18,23,67,77,City Hotel
2016-07-01,187,29,24,74,101,City Hotel
2016-07-02,173,18,32,76,91,City Hotel
2016-07-03,170,13,21,83,84,City Hotel
2016-07-04,157,16,32,70,80,City Hotel
2016-07-05,160,25,20,76,87,City Hotel
2016-07-06,187,19,19,74,104,City Hotel
2016-07-07,223,25,32,88,117,City Hotel
2016-07-08,207,19,14,64,113,City Hotel
2016-07-09,198,26,37,84,103,City Hotel
2016-07-10,175,21,23,85,86,City Hotel
2016-07-11,207,12,32,61,106,City Hotel
2016-07-12,203,14,37,79,108,City Hotel
2016-07-13,295,23,28,77,195,City Hotel
2016-07-14,180,33,43,65,93,City Hotel
2016-07-15,162,27,17,61,84,City Hotel
2016-07-16,206,27,19,89,103,City Hotel
2016-07-17,189,20,22,83,97,City Hotel
2016-07-18,227,25,70,94,112,City Hotel
2016-07-19,196,24,28,54,99,City Hotel
2016-07-20,195,21,35,80,105,City Hotel
2016-07-21,227,23,31,113,121,City Hotel
2016-07-22,155,31,21,81,83,City Hotel
2016-07-23,216,13,35,41,118,City Hotel
2016-07-24,192,17,32,91,102,City Hotel
2016-07-25,178,21,15,76,90,City Hotel
2016-07-26,150,23,28,62,81,City Hotel
2016-07-27,185,24,32,72,95,City Hotel
